,ow_tp,ow_fp,ow_fn,ow_precision,ow_recall,ow_f1,ow_threat,ow_iou,merges,splits,pw_tp,pw_tn,pw_fp,pw_fn,pw_accuracy,pw_precision,pw_recall,pw_f1,pw_specificity,pw_iou
0,16.9,13.1,13.1,0.5633333333333332,0.5633333333333332,0.5633333333333332,0.4629039906468336,0.7323172601827491,0.0,0.0,6250.0,57361.0,1070.0,855.0,0.9706268310546875,0.8538251366120219,0.8796622097114708,0.8665511265164645,0.9816878027074669,0.764525993883792
1,11.3,12.7,11.7,0.4708333333333333,0.491304347826087,0.48085106382978726,0.35130358024405667,0.6407426980785413,0.0,0.0,5681.0,57704.0,885.0,1266.0,0.9671783447265625,0.8652147426134633,0.817763063192745,0.840819951158144,0.9848947754697981,0.7253575076608785
2,14.9,14.1,13.1,0.5137931034482759,0.5321428571428571,0.5228070175438597,0.4181802594928568,0.719200250117903,0.0,0.0,5272.0,58425.0,781.0,1058.0,0.9719390869140625,0.8709730712043615,0.8328593996840442,0.8514899458935637,0.9868087693814817,0.7413865841653776
3,20.2,8.8,8.8,0.6965517241379311,0.6965517241379311,0.6965517241379311,0.6020259078827191,0.7995210091380482,0.0,0.0,8044.0,55678.0,1297.0,517.0,0.972320556640625,0.8611497698319238,0.9396098586613714,0.8986705396045135,0.9772356296621325,0.81598701562183
4,18.0,13.0,13.0,0.5806451612903225,0.5806451612903225,0.5806451612903225,0.45199060109702804,0.7095170482261495,0.0,1.0,8980.0,54386.0,1236.0,934.0,0.966888427734375,0.8790133124510572,0.9057897922130321,0.892200695479384,0.9777785768221208,0.8053811659192825
5,7.7,4.3,5.3,0.6416666666666667,0.5923076923076924,0.616,0.49613145983030893,0.7308701443728556,0.0,0.0,3715.0,61149.0,343.0,329.0,0.98974609375,0.9154756037456875,0.91864490603363,0.9170575166625524,0.9944220386391726,0.8468201504444951
6,17.5,8.5,8.5,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.5795018515616122,0.7980640377437862,0.0,0.0,6413.0,57846.0,809.0,468.0,0.9805145263671875,0.8879811686513431,0.9319866298503124,0.9094518896688648,0.9862074844429289,0.8339401820546164
7,13.5,6.5,8.5,0.675,0.6136363636363636,0.6428571428571429,0.5530640469239064,0.7337016452235365,0.0,0.0,5435.0,58617.0,676.0,808.0,0.97735595703125,0.88937980690558,0.8705750440493353,0.8798769629269872,0.9885989914492436,0.785518138459315
8,12.1,15.9,14.9,0.4321428571428571,0.4481481481481482,0.43999999999999995,0.3176961255890082,0.6178252473709327,0.0,1.0,5705.0,57332.0,1035.0,1464.0,0.9618682861328125,0.8464391691394659,0.7957874180499372,0.8203321590337191,0.9822673771137801,0.6953924914675768
9,12.1,11.9,9.9,0.5041666666666667,0.55,0.5260869565217392,0.4113241205017976,0.7246396310254795,0.0,0.0,6281.0,57574.0,888.0,793.0,0.9743499755859375,0.8761333519319291,0.8878993497314108,0.8819771115635751,0.9848106462317403,0.7888721426777192
