,ow_tp,ow_fp,ow_fn,ow_precision,ow_recall,ow_f1,ow_threat,ow_iou,merges,splits,pw_tp,pw_tn,pw_fp,pw_fn,pw_accuracy,pw_precision,pw_recall,pw_f1,pw_specificity,pw_iou
0,10.5,11.5,12.5,0.47727272727272735,0.45652173913043487,0.4666666666666666,0.344170370141121,0.6199652179023217,0.0,0.0,7002.0,55860.0,1110.0,1564.0,0.959197998046875,0.8631656804733728,0.817417697875321,0.8396690250629572,0.9805160610847815,0.7236461347664324
1,10.2,8.8,10.8,0.5368421052631579,0.48571428571428565,0.51,0.37140200795373207,0.6534985375068354,0.0,0.0,6227.0,57102.0,980.0,1227.0,0.9663238525390625,0.8640210906063549,0.8353903944191038,0.8494645658549894,0.98312730277883,0.7383210813374437
2,5.2,4.8,4.8,0.52,0.52,0.52,0.4434230372310868,0.7276733842195504,0.0,0.0,3500.0,60787.0,737.0,512.0,0.9809417724609375,0.8260561718196837,0.872382851445663,0.8485877076009213,0.9880209349197061,0.7369972625815961
3,9.4,6.6,7.6,0.5875,0.5529411764705883,0.5696969696969697,0.4581884550084889,0.7262156750610085,0.0,0.0,8077.0,55104.0,1032.0,1323.0,0.9640655517578125,0.8867054561422769,0.8592553191489362,0.8727646010049165,0.9816160752458315,0.7742523006134969
4,12.5,6.5,6.5,0.6578947368421052,0.6578947368421052,0.6578947368421052,0.5417694141479308,0.78264829161353,0.0,0.0,7699.0,56395.0,829.0,613.0,0.977996826171875,0.9027908067542214,0.9262512030798845,0.9143705463182897,0.9855130714385573,0.8422492068701455
5,11.4,4.6,5.6,0.7125,0.6705882352941177,0.6909090909090909,0.5914100447196422,0.7980065903210305,1.0,0.0,8432.0,55246.0,915.0,943.0,0.971649169921875,0.902107628115973,0.8994133333333333,0.9007584659758573,0.9837075550649027,0.8194363459669582
6,11.1,5.9,8.9,0.6529411764705881,0.5549999999999999,0.6,0.49469231654014256,0.6876240144827188,0.0,0.0,6358.0,57510.0,743.0,925.0,0.97454833984375,0.8953668497394733,0.8729918989427434,0.8840378197997776,0.9872452920879612,0.7921754298529778
7,8.6,4.4,5.4,0.6615384615384616,0.6142857142857143,0.6370370370370371,0.5421915584415584,0.7559080707864395,0.0,0.0,5130.0,59271.0,532.0,603.0,0.9826812744140625,0.9060402684563759,0.8948194662480377,0.9003949100482668,0.9911041252111098,0.8188347964884277
8,9.1,5.9,6.9,0.6066666666666667,0.56875,0.5870967741935484,0.4879084967320261,0.7227299806949385,0.0,0.0,8781.0,54474.0,1147.0,1134.0,0.9651947021484375,0.8844681708299759,0.8856278366111952,0.8850476238472005,0.9793782923715862,0.7937985897667691
9,7.4,8.6,5.6,0.4625,0.5692307692307692,0.5103448275862068,0.3898942052099947,0.7257322685300345,0.0,1.0,7279.0,55678.0,1468.0,1111.0,0.9606475830078125,0.8321710300674517,0.8675804529201431,0.849506914862578,0.9743114128722921,0.7383850679651045
10,10.2,13.8,9.8,0.425,0.51,0.4636363636363637,0.33902157157126983,0.692747480828843,0.0,1.0,8837.0,53625.0,1095.0,1979.0,0.953094482421875,0.889750302053967,0.817030325443787,0.8518411413148256,0.9799890350877193,0.7419192343212156
11,7.3,8.7,6.7,0.45625,0.5214285714285715,0.48666666666666664,0.347888906423981,0.6823174025003136,0.0,0.0,5792.0,57317.0,1406.0,1021.0,0.9629669189453125,0.8046679633231453,0.8501394393072068,0.8267789593890514,0.976057081552373,0.7047086020197104
12,7.7,3.3,3.3,0.7,0.7,0.7,0.628452380952381,0.8205191915159439,0.0,0.0,5689.0,58747.0,555.0,545.0,0.98321533203125,0.91111467008328,0.912576195059352,0.9118448469305979,0.9906411250885299,0.837973191928119
13,3.5,3.5,4.5,0.5,0.4375,0.4666666666666667,0.34700299700299697,0.6201580791179327,0.0,0.0,1881.0,62901.0,347.0,407.0,0.988494873046875,0.8442549371633752,0.8221153846153846,0.83303808680248,0.9945136605110043,0.7138519924098672
14,2.7,5.3,5.3,0.3375,0.3375,0.3375,0.2183150183150183,0.5024744154447314,0.0,0.0,1806.0,61635.0,898.0,1197.0,0.9680328369140625,0.6678994082840237,0.6013986013986014,0.632906956369371,0.9856395823005453,0.4629582158420918
15,7.3,8.7,6.7,0.45625,0.5214285714285715,0.48666666666666664,0.3639898240584739,0.7090231616161995,0.0,0.0,5078.0,58114.0,963.0,1381.0,0.9642333984375,0.8405893064062241,0.7861898126644992,0.81248,0.9836992399749479,0.6841821611425492
16,11.4,6.6,6.6,0.6333333333333332,0.6333333333333332,0.6333333333333332,0.5370375135700213,0.7730418718144716,0.0,0.0,7440.0,56486.0,685.0,925.0,0.975433349609375,0.9156923076923077,0.8894202032277346,0.9023650697392359,0.9880184009375382,0.8220994475138121
