,ow_tp,ow_fp,ow_fn,ow_precision,ow_recall,ow_f1,ow_threat,ow_iou,merges,splits,pw_tp,pw_tn,pw_fp,pw_fn,pw_accuracy,pw_precision,pw_recall,pw_f1,pw_specificity,pw_iou
0,12.4,10.6,11.6,0.5391304347826087,0.5166666666666666,0.5276595744680851,0.44346480633354607,0.6988767488769259,0.0,0.0,5345.0,58224.0,1070.0,897.0,0.9699859619140625,0.8332034294621979,0.856296058955463,0.8445919254167654,0.9819543292744628,0.7309901531728665
1,14.5,10.5,12.5,0.5800000000000001,0.537037037037037,0.5576923076923077,0.4503030118130796,0.6829381640464136,0.0,0.0,6263.0,57084.0,1080.0,1109.0,0.9665985107421875,0.8529211493939807,0.8495659251220835,0.8512402310567448,0.9814318134928822,0.7410080454330336
2,11.0,9.0,11.0,0.55,0.5000000000000001,0.5238095238095238,0.40022601230654214,0.6400712693533748,0.0,0.0,4291.0,59724.0,484.0,1037.0,0.9767913818359375,0.8986387434554974,0.8053678678678678,0.8494506582203306,0.9919612011692799,0.7383000688231246
3,13.5,5.5,5.5,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.6664695340501792,0.8326985531864988,0.0,0.0,6441.0,57770.0,736.0,589.0,0.9797821044921875,0.8974501881008778,0.9162162162162162,0.9067361159991554,0.9874200936656069,0.8293844965233067
4,12.3,12.7,15.7,0.492,0.4392857142857142,0.4641509433962264,0.34160413745565416,0.6242962850832636,0.0,0.0,6479.0,56456.0,1665.0,936.0,0.9603118896484375,0.7955550098231827,0.8737693863789615,0.832829873385179,0.9713528672940933,0.7135462555066079
5,14.2,13.8,12.8,0.5071428571428571,0.5259259259259259,0.5163636363636364,0.43108671614676713,0.7334211973011991,0.0,0.0,6150.0,57082.0,1188.0,1116.0,0.96484375,0.8381030253475061,0.8464079273327828,0.8422350041084634,0.9796121503346491,0.7274662881476224
6,14.5,12.5,13.5,0.537037037037037,0.5178571428571428,0.5272727272727272,0.4166870166870166,0.6948238555397757,1.0,0.0,6095.0,57390.0,1190.0,861.0,0.9687042236328125,0.8366506520247083,0.8762219666474985,0.8559792149427708,0.9796858996244452,0.7482199852688436
7,10.4,4.6,5.6,0.6933333333333335,0.65,0.6709677419354839,0.5868071124396522,0.7749244844955891,0.0,0.0,4873.0,59713.0,526.0,424.0,0.985504150390625,0.9025745508427486,0.9199546913347177,0.9111817501869858,0.9912681153405601,0.8368538554009961
8,13.0,17.0,17.0,0.4333333333333333,0.4333333333333333,0.4333333333333333,0.31089310748590115,0.6453312269251879,0.0,0.0,8398.0,53673.0,1348.0,2117.0,0.9471282958984375,0.8616868458854915,0.7986685687113647,0.8289817876708948,0.9755002635357409,0.7079153671078142
9,12.6,11.4,10.4,0.525,0.5478260869565217,0.5361702127659574,0.4211489627222386,0.6843805543473306,0.0,0.0,7873.0,54703.0,1955.0,1005.0,0.954833984375,0.8010785510785511,0.8867988285649921,0.8417620014968459,0.9654947227222987,0.7267608234099511
10,12.3,12.7,13.7,0.492,0.47307692307692306,0.48235294117647054,0.36668698409539235,0.6470176992912616,0.0,0.0,7398.0,55229.0,1759.0,1150.0,0.9556121826171875,0.8079065196024899,0.8654656059897052,0.8356961310364304,0.9691338527409279,0.7177646259823421
11,7.1,8.9,7.9,0.44375,0.47333333333333333,0.4580645161290323,0.32757361398665746,0.6564390222736416,0.0,0.0,3555.0,60256.0,1069.0,656.0,0.9736785888671875,0.7688148788927336,0.844217525528378,0.8047538200339559,0.982568283734203,0.6732954545454546
12,6.7,13.3,14.3,0.335,0.31904761904761897,0.32682926829268294,0.21369634821247727,0.546798498098034,0.0,0.0,5153.0,56919.0,1722.0,1742.0,0.9471435546875,0.7495272727272727,0.7473531544597535,0.7484386347131445,0.9706348800327416,0.5980039456887548
13,4.9,6.1,5.1,0.44545454545454544,0.49000000000000005,0.4666666666666666,0.3594686234817813,0.6428264730941786,0.0,0.0,2181.0,62272.0,553.0,530.0,0.9834747314453125,0.7977322604242868,0.8045001844337882,0.8011019283746557,0.9911977715877437,0.6681985294117647
14,6.7,8.3,9.3,0.44666666666666666,0.41875,0.432258064516129,0.3246652445782881,0.5970218096568322,0.0,0.0,4266.0,59038.0,966.0,1266.0,0.9659423828125,0.8153669724770642,0.7711496746203904,0.7926421404682275,0.9839010732617826,0.6565096952908587
15,8.7,7.3,9.3,0.54375,0.4833333333333333,0.5117647058823529,0.38249170869110893,0.5613223440443411,0.0,0.0,4695.0,59298.0,733.0,810.0,0.9764556884765625,0.8649594694178334,0.8528610354223434,0.8588676484039147,0.9877896420182906,0.7526450785508175
16,17.2,12.8,13.8,0.5733333333333334,0.5548387096774193,0.5639344262295082,0.4650210239468551,0.7132570940554491,0.0,1.0,8719.0,53964.0,1549.0,1304.0,0.9564666748046875,0.8491429684456564,0.8698992317669361,0.8593957912374944,0.9720966260155279,0.7534566194262011
17,15.4,14.6,13.6,0.5133333333333333,0.5310344827586208,0.5220338983050847,0.39773803973803973,0.6881841967651926,0.0,1.0,7994.0,55203.0,973.0,1366.0,0.9643096923828125,0.8914910226385636,0.854059829059829,0.8723740928684455,0.9826794360581032,0.7736378592857834
18,13.0,17.0,19.0,0.4333333333333333,0.40625,0.4193548387096775,0.29315739212998454,0.6272181189414272,1.0,0.0,6923.0,54487.0,1413.0,2713.0,0.937042236328125,0.8304942418426103,0.7184516396845164,0.770420654351213,0.9747227191413238,0.6265725405014029
19,4.2,8.8,18.8,0.32307692307692315,0.1826086956521739,0.23333333333333334,0.1461527441783282,0.3495772844619927,0.0,0.0,3870.0,55304.0,607.0,5755.0,0.902923583984375,0.8644181371454098,0.4020779220779221,0.5488583179690824,0.9891434601420114,0.3782251759186865
