,ow_tp,ow_fp,ow_fn,ow_precision,ow_recall,ow_f1,ow_threat,ow_iou,merges,splits,pw_tp,pw_tn,pw_fp,pw_fn,pw_accuracy,pw_precision,pw_recall,pw_f1,pw_specificity,pw_iou
0,12.4,11.6,10.6,0.5166666666666666,0.5391304347826088,0.5276595744680851,0.40763954595976626,0.7116209231129444,0.0,0.0,5844.0,57602.0,1470.0,620.0,0.968109130859375,0.7990155865463495,0.9040841584158416,0.8483088982435767,0.9751151137594799,0.7365767582556088
1,11.9,14.1,13.1,0.4576923076923077,0.4760000000000001,0.4666666666666666,0.3483697568511702,0.6701877486861736,1.0,0.0,5295.0,58433.0,1413.0,395.0,0.972412109375,0.789355992844365,0.9305799648506151,0.854170027423778,0.9763893994586105,0.7454596649303111
2,8.0,10.0,10.0,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.32926123492875414,0.6224946055931895,0.0,0.0,3831.0,59794.0,908.0,1003.0,0.9708404541015625,0.8083983962861363,0.7925113777410012,0.8003760576621749,0.985041679022108,0.667189132706374
3,16.9,8.1,10.1,0.676,0.625925925925926,0.65,0.5460447018132271,0.754805638704436,0.0,0.0,8395.0,55394.0,1213.0,534.0,0.9733428955078125,0.8737510407993339,0.940194870646209,0.9057560554566543,0.9785715547547124,0.8277460067047919
4,14.2,9.8,10.8,0.5916666666666666,0.5680000000000001,0.5795918367346939,0.47962274249573633,0.7242630228183816,0.0,0.0,7953.0,55350.0,1666.0,567.0,0.9659271240234375,0.8268011227778356,0.9334507042253521,0.87689508793208,0.970780131892802,0.7807775377969762
5,16.2,11.8,14.8,0.5785714285714285,0.5225806451612903,0.5491525423728814,0.44314115861115466,0.6785000774437338,0.0,0.0,7187.0,56361.0,1123.0,865.0,0.96966552734375,0.8648616125150421,0.8925732737208147,0.8784989610072118,0.9804641291489806,0.7833242506811989
6,16.9,10.1,10.1,0.625925925925926,0.625925925925926,0.625925925925926,0.5279186768751387,0.7670335722274073,0.0,0.0,6423.0,57539.0,744.0,830.0,0.975982666015625,0.8961908748430305,0.8855645939611195,0.8908460471567268,0.987234699655131,0.8031761910716518
7,16.4,8.6,7.6,0.656,0.6833333333333333,0.6693877551020407,0.5681989624805172,0.8134540172575416,0.0,0.0,5638.0,58621.0,797.0,480.0,0.9805145263671875,0.8761460761460761,0.9215429879045439,0.8982713295626543,0.9865865562624121,0.8153289949385394
8,11.9,13.1,15.1,0.476,0.44074074074074066,0.4576923076923077,0.3353579827915164,0.6052701531746649,0.0,0.0,6547.0,55986.0,1331.0,1672.0,0.9541778564453125,0.8310484894643311,0.796568925660056,0.8134434987885941,0.9767782682275764,0.6855497382198953
9,13.9,11.1,9.1,0.556,0.6043478260869566,0.5791666666666667,0.4697639910694729,0.7638679860417927,0.0,0.0,6968.0,56277.0,1112.0,1179.0,0.9650421142578125,0.8623762376237624,0.8552841536761998,0.8588155543230418,0.9806234644269808,0.752565071822011
10,13.4,10.6,9.6,0.5583333333333333,0.5826086956521739,0.5702127659574467,0.48408579777558325,0.7523342107839011,0.0,0.0,7005.0,56566.0,959.0,1006.0,0.9700164794921875,0.8795831240582622,0.8744226688303582,0.8769953051643192,0.983328987396784,0.7809364548494984
